tournament_id,player,decklist_id,card_id,quantity,code,title,faction_code,side_code,type_code
5029,Daine,91766,26085,3,26085,Simulchip,shaper,runner,hardware
5029,Daine,91766,30018,2,30018,Red Team,criminal,runner,resource
5029,Daine,91766,30022,3,30022,DZMZ Optimizer,shaper,runner,hardware
5029,Daine,91766,30025,1,30025,Echelon,shaper,runner,program
5029,Daine,91766,30026,1,30026,Unity,shaper,runner,program
5029,Daine,91766,30029,2,30029,Overclock,neutral-runner,runner,event
5029,Daine,91766,30030,3,30030,Sure Gamble,neutral-runner,runner,event
5029,Daine,91766,33027,3,33027,Propeller,shaper,runner,program
5029,Daine,91766,33092,3,33092,Dr. Nuka Vrolyck,shaper,runner,resource
5029,Daine,91766,34022,1,34022,AirbladeX (JSRF Ed.),shaper,runner,hardware
5029,Daine,91766,34080,1,34080,Cupellation,criminal,runner,program
5029,Daine,91766,34082,1,34082,Physarum Entangler,criminal,runner,program
5029,Daine,91766,34088,2,34088,Cataloguer,shaper,runner,hardware
5029,Daine,91766,34089,3,34089,Coalescence,shaper,runner,program
5029,Daine,91766,34091,3,34091,Muse,shaper,runner,program
5029,Daine,91766,35009,1,35009,Rising Tide,anarch,runner,program
5029,Daine,91766,35022,2,35022,Open Market,criminal,runner,resource
5029,Daine,91766,35027,1,35027,GAMEDRAGON™ Pro,shaper,runner,hardware
5029,Daine,91766,35032,1,35032,Principia,shaper,runner,program
5029,Daine,91766,35033,3,35033,“Knickknack” O’Brian,shaper,runner,resource
5029,ALLGRAYALLDAY,91795,26018,3,26018,The Class Act,criminal,runner,resource
5029,ALLGRAYALLDAY,91795,26072,1,26072,Mystic Maemi,anarch,runner,resource
5029,ALLGRAYALLDAY,91795,26074,3,26074,Bravado,criminal,runner,event
5029,ALLGRAYALLDAY,91795,26075,2,26075,Boomerang,criminal,runner,hardware
5029,ALLGRAYALLDAY,91795,30011,1,30011,Mutual Favor,criminal,runner,event
5029,ALLGRAYALLDAY,91795,30015,1,30015,Carmen,criminal,runner,program
5029,ALLGRAYALLDAY,91795,30028,3,30028,Jailbreak,neutral-runner,runner,event
5029,ALLGRAYALLDAY,91795,30030,3,30030,Sure Gamble,neutral-runner,runner,event
5029,ALLGRAYALLDAY,91795,32002,1,32002,Revolver,criminal,runner,program
5029,ALLGRAYALLDAY,91795,33010,2,33010,The Twinning,anarch,runner,resource
